Base,Lat_Moy,Lon_Moy,Lat_Std,Lon_Std
B02512,40.74419583648531,-73.97600487343614,0.040875190075037225,0.07197827718123337
B02598,40.73857057689111,-73.97178738611804,0.04115962781586519,0.05913657678749546
B02617,40.73924402599981,-73.9720481812044,0.03991473530148206,0.05773281377039399
B02682,40.73924010642291,-73.97236942192778,0.04034564226477458,0.057714743815040964
B02764,40.739071900321306,-73.96994881766135,0.0427073303122442,0.05603219435049717
B02512,40.74375219439764,-73.97856745666886,0.05130025504266985,0.07017882569323103
B02598,40.73859662903048,-73.97178018461138,0.040446615847635196,0.05850622271737687
B02617,40.73900762928811,-73.97241356783596,0.03927582940556154,0.05680760345003981
B02682,40.73905467588969,-73.97184901857142,0.040371329510641964,0.05884532833128141
B02764,40.74270142042147,-73.97271135172896,0.04194779703557931,0.07040000173935011
B02512,40.74561201513427,-73.97870265157341,0.042077591075213555,0.06564240757457045
B02598,40.739660691840726,-73.97356467043934,0.03813670108202351,0.05568431942447284
B02617,40.738867739347285,-73.9740117667787,0.03824382695537335,0.05500356311200192
B02682,40.74013335419595,-73.97398982177852,0.03833420275425434,0.05717867692519172
B02764,40.74062880543793,-73.97414417205259,0.03297605172014088,0.06725444472652398
B02512,40.745492866389014,-73.98134465049527,0.034626405345345744,0.05588044694458176
B02598,40.73981247278501,-73.97634238116805,0.03649585471243305,0.04935430322787398
B02617,40.73838399088898,-73.97652647475486,0.03587518904328379,0.049927274460950195
B02682,40.740104969974716,-73.97652450835791,0.036120006079699056,0.05053590012132811
B02764,40.73926620912394,-73.97923964473154,0.03289271509391632,0.051430595151611386
B02512,40.74074434417895,-73.97705491548042,0.06170410579756805,0.07372203928674564
B02598,40.73732286114051,-73.97009348609225,0.043423976125242465,0.0618645423502521
B02617,40.7377952229183,-73.97042878250043,0.04116520070907186,0.05912881674240782
B02682,40.73789902066021,-73.96972036299631,0.043516828935625494,0.06248580255250573
B02764,40.737407618694824,-73.9656005391945,0.04803954428571482,0.0638588008072553
B02512,40.745211894464845,-73.9796972637019,0.03617079008079389,0.061312106006593904
B02598,40.74006591965427,-73.97475400596433,0.03772845186574079,0.052717837981285
B02617,40.738288734987854,-73.97471668160412,0.0373740985753349,0.053647994212398555
B02682,40.74021755809102,-73.97467978042292,0.03766104524643237,0.05470387112547858
B02764,40.73998164983165,-73.97500237794614,0.034616692799358334,0.05689606191225895
